11,12,13,21,31,32,34,41,42,43,44,51,52,53,54,55,56,61,62,63,64,71,72,81,82,83,84,91,92,93,94,95,96,97,98
1117,1127,1137,1217,1317,1327,1347,1417,1427,1437,1447,1517,1527,1537,1547,1557,1567,1617,1627,1637,1647,1717,1727,1817,1827,1837,1847,1917,1927,1937,1947,1957,1967,1977,1987
1118,1128,1138,1218,1318,1328,1348,1418,1428,1438,1448,1518,1528,1538,1548,1558,1568,1618,1628,1638,1648,1718,1728,1818,1828,1838,1848,1918,1928,1938,1948,1958,1968,1978,1988
1119,1129,1139,1219,1319,1329,1349,1419,1429,1439,1449,1519,1529,1539,1549,1559,1569,1619,1629,1639,1649,1719,1729,1819,1829,1839,1849,1919,1929,1939,1949,1959,1969,1979,1989
2117,2127,2137,2217,2317,2327,2347,2417,2427,2437,2447,2517,2527,2537,2547,2557,2567,2617,2627,2637,2647,2717,2727,2817,2827,2837,2847,2917,2927,2937,2947,2957,2967,2977,2987
2118,2128,2138,2218,2318,2328,2348,2418,2428,2438,2448,2518,2528,2538,2548,2558,2568,2618,2628,2638,2648,2718,2728,2818,2828,2838,2848,2918,2928,2938,2948,2958,2968,2978,2988
2119,2129,2139,2219,2319,2329,2349,2419,2429,2439,2449,2519,2529,2539,2549,2559,2569,2619,2629,2639,2649,2719,2729,2819,2829,2839,2849,2919,2929,2939,2949,2959,2969,2979,2989
3117,3127,3137,3217,3317,3327,3347,3417,3427,3437,3447,3517,3527,3537,3547,3557,3567,3617,3627,3637,3647,3717,3727,3817,3827,3837,3847,3917,3927,3937,3947,3957,3967,3977,3987
3118,3128,3138,3218,3318,3328,3348,3418,3428,3438,3448,3518,3528,3538,3548,3558,3568,3618,3628,3638,3648,3718,3728,3818,3828,3838,3848,3918,3928,3938,3948,3958,3968,3978,3988
3119,3129,3139,3219,3319,3329,3349,3419,3429,3439,3449,3519,3529,3539,3549,3559,3569,3619,3629,3639,3649,3719,3729,3819,3829,3839,3849,3919,3929,3939,3949,3959,3969,3979,3989
4117,4127,4137,4217,4317,4327,4347,4417,4427,4437,4447,4517,4527,4537,4547,4557,4567,4617,4627,4637,4647,4717,4727,4817,4827,4837,4847,4917,4927,4937,4947,4957,4967,4977,4987
4118,4128,4138,4218,4318,4328,4348,4418,4428,4438,4448,4518,4528,4538,4548,4558,4568,4618,4628,4638,4648,4718,4728,4818,4828,4838,4848,4918,4928,4938,4948,4958,4968,4978,4988
4119,4129,4139,4219,4319,4329,4349,4419,4429,4439,4449,4519,4529,4539,4549,4559,4569,4619,4629,4639,4649,4719,4729,4819,4829,4839,4849,4919,4929,4939,4949,4959,4969,4979,4989
5117,5127,5137,5217,5317,5327,5347,5417,5427,5437,5447,5517,5527,5537,5547,5557,5567,5617,5627,5637,5647,5717,5727,5817,5827,5837,5847,5917,5927,5937,5947,5957,5967,5977,5987
5118,5128,5138,5218,5318,5328,5348,5418,5428,5438,5448,5518,5528,5538,5548,5558,5568,5618,5628,5638,5648,5718,5728,5818,5828,5838,5848,5918,5928,5938,5948,5958,5968,5978,5988
5119,5129,5139,5219,5319,5329,5349,5419,5429,5439,5449,5519,5529,5539,5549,5559,5569,5619,5629,5639,5649,5719,5729,5819,5829,5839,5849,5919,5929,5939,5949,5959,5969,5979,5989
6117,6127,6137,6217,6317,6327,6347,6417,6427,6437,6447,6517,6527,6537,6547,6557,6567,6617,6627,6637,6647,6717,6727,6817,6827,6837,6847,6917,6927,6937,6947,6957,6967,6977,6987
6118,6128,6138,6218,6318,6328,6348,6418,6428,6438,6448,6518,6528,6538,6548,6558,6568,6618,6628,6638,6648,6718,6728,6818,6828,6838,6848,6918,6928,6938,6948,6958,6968,6978,6988
6119,6129,6139,6219,6319,6329,6349,6419,6429,6439,6449,6519,6529,6539,6549,6559,6569,6619,6629,6639,6649,6719,6729,6819,6829,6839,6849,6919,6929,6939,6949,6959,6969,6979,6989
7117,7127,7137,7217,7317,7327,7347,7417,7427,7437,7447,7517,7527,7537,7547,7557,7567,7617,7627,7637,7647,7717,7727,7817,7827,7837,7847,7917,7927,7937,7947,7957,7967,7977,7987
7118,7128,7138,7218,7318,7328,7348,7418,7428,7438,7448,7518,7528,7538,7548,7558,7568,7618,7628,7638,7648,7718,7728,7818,7828,7838,7848,7918,7928,7938,7948,7958,7968,7978,7988
7119,7129,7139,7219,7319,7329,7349,7419,7429,7439,7449,7519,7529,7539,7549,7559,7569,7619,7629,7639,7649,7719,7729,7819,7829,7839,7849,7919,7929,7939,7949,7959,7969,7979,7989
8117,8127,8137,8217,8317,8327,8347,8417,8427,8437,8447,8517,8527,8537,8547,8557,8567,8617,8627,8637,8647,8717,8727,8817,8827,8837,8847,8917,8927,8937,8947,8957,8967,8977,8987
8118,8128,8138,8218,8318,8328,8348,8418,8428,8438,8448,8518,8528,8538,8548,8558,8568,8618,8628,8638,8648,8718,8728,8818,8828,8838,8848,8918,8928,8938,8948,8958,8968,8978,8988
8119,8129,8139,8219,8319,8329,8349,8419,8429,8439,8449,8519,8529,8539,8549,8559,8569,8619,8629,8639,8649,8719,8729,8819,8829,8839,8849,8919,8929,8939,8949,8959,8969,8979,8989
9117,9127,9137,9217,9317,9327,9347,9417,9427,9437,9447,9517,9527,9537,9547,9557,9567,9617,9627,9637,9647,9717,9727,9817,9827,9837,9847,9917,9927,9937,9947,9957,9967,9977,9987
9118,9128,9138,9218,9318,9328,9348,9418,9428,9438,9448,9518,9528,9538,9548,9558,9568,9618,9628,9638,9648,9718,9728,9818,9828,9838,9848,9918,9928,9938,9948,9958,9968,9978,9988
